[marke] ['backwaren'] <- KATHI | Knusper-Häppchen
[wb] ['fertiggericht'] <- Youcook Internationales Fertiggericht | versch. Sorten, je 420-g-Pckg. (1 kg = 9,02 €)
[wb] ['fertiggericht'] <- iglo Fertiggerichte | 425 g – 450 g
[wb] ['feta', 'paprika'] <- ORTO MIO Antipasticreme Feta Paprika | je 150 g
[wb] ['feta'] <- MITAKOS Feta | je 200 g
[wb] ['fisch', 'ente'] <- Vitakraft Bonas Kaustangen mit Huhn oder Filets Streifen mit Entenbrust | je 80-g-Pckg. (1 kg = 23,63 €)
[wb] ['fisch', 'wein'] <- Deutsche See Crevettes Roses | gekochte Garnelen mit Kopf und Schale, aufgetaut, je 250-g-Schale (1 kg = 17,16 €)
[wb] ['fisch'] <- ALFRIO | Calamares a la Romana
[wb] ['fisch'] <- Backfisch-Stäbchen / Fischstäbchen | Packung
[wb] ['fisch'] <- Doradenfilets | pro 100 g
[wb] ['fisch'] <- Escal Garnelen | 300 g
[wb] ['fisch'] <- FROSTA | Schlemmerfilet versch. Sorten
[wb] ['fisch'] <- Followfood Bio Lachs Filets | tiefgefroren, je 200-g-Pckg. (1 kg = 39,95 €)
[wb] ['fisch'] <- IGLO 15 Fischstäbchen* oder 13 Backfisch-Stäbchen | je 3 x 450 g
[wb] ['fisch'] <- Iglo 15 Fischstäbchen | tiefgefroren, je 450-g-Pckg.
[wb] ['fisch'] <- K-BLUE BAY | Lachsforellenfilet
[wb] ['fisch'] <- K-BLUE BAY | White Tiger Garnelen
[wb] ['fisch'] <- K-CLASSIC | Heringsspezialitäten
[wb] ['fisch'] <- K-CLASSIC | Riesengarnelen
[wb] ['fisch'] <- K-PURLAND | Kasseler Lachs XXL
[wb] ['fisch'] <- Knusperfilets | 400 g
[wb] ['fisch'] <- Lamm-Lachs | mariniert, je 100-g-
[wb] ['fisch'] <- Lammfilets XXL | z. B. 500 g
[wb] ['fisch'] <- Meine Lieblinge Bio-Graved Lachs oder Bio-Lachs | je 80-g-Pckg. (1 kg = 46,13 €)
[wb] ['fisch'] <- Nadler Edle Matjesfilets | Nordische Art, je 300-g-Pckg. (1 kg = 8,30 €)
[wb] ['fisch'] <- Party-Garnelen / -Crevetten | 80-g-Packung
[wb] ['fisch'] <- Rügenfisch Kieler Sprotten | 106 g
[wb] ['fisch'] <- Schweine-Filet | je 100-g-
[wb] ['fisch'] <- Surimi in Garnelenform | Packung
[wb] ['fisch'] <- iglo Fischstäbchen | 450 g
[wb] ['fisch'] <- iglo Schlemmer Filet | 380 g
[wb] ['fleisch'] <- Geflügelfrikadellen XXL | 600-g-Packung
[wb] ['fleisch'] <- PENNY READY Frikadellen Bällchen | je 500 g
[wb] ['frischkäse'] <- BRESSO | Frischkäse oder Frischkäsezubereitung
[wb] ['frischkäse'] <- DOVGAN körniger Frischkäse | 250 g
[wb] ['gewürze'] <- BAMBOO GARDEN | Curry-Paste
[wb] ['gewürze'] <- Bio Ingwer | je 100-g-
[wb] ['gewürze'] <- Eingelegtes Gewürz | 106-ml-Glas
[wb] ['gewürze'] <- K-CLASSIC | Gewürze oder -mischungen
[wb] ['gewürze'] <- K-CLASSIC | Gewürzmischung
[wb] ['gewürze'] <- Koriander | Bund
[wb] ['gewürze'] <- MEICA Curry King XXL* | je 400 g
[wb] ['gewürze'] <- Mirée Französische Kräuter | 65% Fett i.Tr., je 150-g-Becher (1 kg = 7,40 €)
[wb] ['gewürze'] <- Tress Brüder Bio Curry | versch. Sorten, je 400-g-Box (1 kg = 6,23 €)
[wb] ['hackfleisch', 'rind'] <- Rinder-Hackfleisch | 400 g
[wb] ['hackfleisch'] <- Frisches Putenhackfleisch* | je 800-g-Packung
[wb] ['hackfleisch'] <- Hackfleisch gemischt | 400-g-Packung
[wb] ['hackfleisch'] <- Hackfleisch gemischt | 500 g
[wb] ['hackfleisch'] <- Hackfleisch gemischt | vom Rind und Schwein, Family Pack, je 1000-g-Pckg.
[wb] ['hackfleisch'] <- K-BIO | Bioland Hackfleisch gemischt
[wb] ['hackfleisch'] <- K-PURLAND | Rinderhackfleisch XXL
[wb] ['hähnchen', 'fertiggericht'] <- NAMDONG Chicken Jjigae Beutel* | je 120 g
[wb] ['hähnchen', 'fisch'] <- Hähnchen-Innenfilet | 800 g
[wb] ['hähnchen', 'fisch'] <- K-PURLAND | Hähnchenbrustfilet- Teilstücke XXL
[wb] ['hähnchen', 'fisch'] <- MÜHLENHOF Frische Hähnchen-Brustfilets | je 1.000-g-Packung
[wb] ['hähnchen', 'nudeln'] <- Samyang Hot Chicken Ramen | Cheese Flavour, je 140-g-Btl. (1 kg = 14,21 €)
[wb] ['hähnchen', 'protein/fitness'] <- Bifi Chicken High Protein | je 100-g-Pckg. (1 kg = 19,90 €)
[wb] ['hähnchen', 'rind'] <- Crunchy-Chicken-Patties | 500-g-Packung
[wb] ['hähnchen', 'rind'] <- GRILLPARTY Frische Hähnchen-Steaks | je 550-g-Packung
[wb] ['hähnchen', 'rind'] <- Hähnchen-Minutensteaks | 400 g
[wb] ['hähnchen', 'rind'] <- Hähnchen-Oberkeulensteaks | 400 g
[wb] ['hähnchen', 'wurst'] <- Hähnchen-Mortadella | 80-g-Packung
[wb] ['hähnchen'] <- CHARLY’S CHICKEN Hähnchenbrust* | je 75 g
[wb] ['hähnchen'] <- Chicken Crispies XXL
[wb] ['hähnchen'] <- Chicken Wings Box | pro kg
[wb] ['hähnchen'] <- GRILLPARTY Frische Hähnchen-Medaillons* | je 350-g-Packung
[wb] ['hähnchen'] <- Hähnchen-Geschnetzeltes
[wb] ['hähnchen'] <- Hähnchenmedaillons | 600-g-Packung
[wb] ['hähnchen'] <- K-CLASSIC | Hähnchen-Knusperdinos
[wb] ['hähnchen'] <- K-PURLAND | Hähnchenflügel XXL
[wb] ['hähnchen'] <- MÜHLENHOF Frisches Hähnchen „Red Fire“* | je kg
[wb] ['hähnchen'] <- MÜHLENHOF Frisches Hähnchen-Geschnetzeltes* | je 800-g-Packung
[wb] ['hähnchen'] <- Nature & Respect Pollofino Frische Freiland- Hähnchen-Oberschenkel | mit Haut, ohne Knochen, SB-verpackt, je 1-kg-
[wb] ['hähnchen'] <- Schweinemedaillons | 600-g-Packung
[wb] ['hähnchen'] <- WIESBAUER | Grillbox Ribs & Wings
[wb] ['joghurt', 'müsli'] <- Joghurt & Crispy Müsli | 150-g-Becher
[wb] ['joghurt', 'pudding', 'protein/fitness'] <- Ehrmann High Protein Pudding oder High Protein Joghurt | versch. Sorten, je 200-g-Becher (1 kg = 4,95 €)
[wb] ['joghurt', 'sahne'] <- Sahne-Joghurt Mascarpone | 140-g-Becher
[wb] ['joghurt', 'sahne'] <- Sahne-Joghurt Panna cotta | 140-g-Becher
[wb] ['joghurt', 'sahne'] <- Sahne-Joghurt | 140-g-Becher
[wb] ['joghurt', 'sahne'] <- ja! Milder Sahne Joghurt | versch. Sorten, je 150-g-Becher (1 kg = 2,60 €)
[wb] ['joghurt'] <- Andechser Natur Bio Jogurt mild | 3,8% Fett, je 500-g-Becher (1 kg = 2,58 €)
[wb] ['joghurt'] <- BAUER | »Der Große Bauer« Fruchtjoghurt
[wb] ['joghurt'] <- BAUER | »Der Große Bauer« Fruchtjoghurt
[wb] ['joghurt'] <- Danone Activia Joghurt | versch. Sorten, je 4 x 115-g-Becher-Pckg. (1 kg = 3,24 €)
[wb] ['joghurt'] <- EHRMANN Almighurt | je 150 g
[wb] ['joghurt'] <- EHRMANN | Almighurt
[wb] ['joghurt'] <- Joghurt | 500-g-Becher
[wb] ['joghurt'] <- KOURELLAS | Griech. Joghurt
[wb] ['joghurt'] <- Landliebe Joghurt auf Frucht | 150 g
[wb] ['joghurt'] <- MILCHWERKE SCHWABEN Fruchtjoghurt*  | je 800 g
[wb] ['joghurt'] <- NESTLÉ | Mix-in Smarties mit Joghurt oder Vanillejoghurt
[wb] ['joghurt'] <- Naturjoghurt | 500 g
[wb] ['joghurt'] <- Obsti- oder Schokighurt | 4 x 150 g
[wb] ['joghurt'] <- REWE Bio Joghurt | versch. Sorten, 3,8% Fett, je 150-g-Becher (1 kg = 3,93 €)
[wb] ['joghurt'] <- Trinkjoghurt XXL | 750-g-Flasche
[wb] ['joghurt'] <- Weihenstephan Naturjoghurt mild | versch. Sorten, je 500-g-Becher (1 kg = 1,98 €)
[wb] ['kaffee', 'konserven'] <- Jacobs Barista Editions | ganze Bohnen, versch. Sorten, je 1000-g-Pckg.
[wb] ['kaffee'] <- Dallmayr Kaffee Classic | gemahlener Bohnenkaffee, versch. Sorten, je 500-g-Pckg. (1 kg = 13,98 €)
[wb] ['kaffee'] <- Kaffeegetränk XXL | 370-ml-Becher
[wb] ['kaffee'] <- Käfer Caffé oder Barista | 1 kg
[wb] ['kaffee'] <- MAGICO Gold Löslicher Bohnenkaffee | je 200 g
[wb] ['kaffee'] <- MAGICO Löslicher Kaffee Classic | je 200 g
[wb] ['kaffee'] <- MAGICO Löslicher Kaffee Entkoffeiniert | je 200 g
[wb] ['kaffee'] <- MAGICO Löslicher Kaffee Mild | je 200 g
[wb] ['kaffee'] <- MELITTA Barista Crema Gold* | je 200 g
[wb] ['kaffee'] <- MELITTA Barista Kaffeekapseln* | je 110 g
[wb] ['kaffee'] <- MELITTA Kaffeepads* | je 112 g
[wb] ['kaffee'] <- MELITTA | Kaffee
[wb] ['kaffee'] <- MR. BROWN | Coffee Drink
[wb] ['kaffee'] <- Melitta Auslese | Klassisch Kaffeepads, je 126-g-Btl. (1 kg = 15,79 €)
[wb] ['kaffee'] <- Melitta Bella Crema | La Crema Kaffeepads, je 120-g-Btl. (1 kg = 16,58 €)
[wb] ['kaffee'] <- Melitta Kaffeepads | 321 g – 336 g
[wb] ['kaffee'] <- MÖVENPICK | Caffè Crema
[wb] ['kaffee'] <- Protein Iced Coffee | 300 g
[wb] ['kaffee'] <- REWE Bio Caffe Latte | je 250-ml-Becher (1 l = 3,16 €)
[wb] ['kaffee'] <- STARBUCKS Chilled Coffee* | je 220 ml
[wb] ['kaffee'] <- Tassimo Kaffeekapseln | 128 g – 268 g
[wb] ['kakao'] <- Haltbarer Kakao | 1-L-Packung
[wb] ['kakao'] <- SUCHARD EXPRESS | Kakaohaltiges Getränkepulver
[wb] ['kartoffeln'] <- Deutsche Speisefrühkartoffeln* | je 2,5-kg-Netz
[wb] ['kartoffeln'] <- Friweika Mini-Grillkartoffeln | 400 g
[wb] ['kartoffeln'] <- SONNEN BASSERMANN | Kartoffel mal anders
[wb] ['kartoffeln'] <- Speisekartoffeln | 2,5 kg
[wb] ['kartoffeln'] <- Speisekartoffeln | Sorte und Kocheigenschaft: siehe Etikett, Qualität I, je 5-kg-Sack (1 kg = 0,80 €)
[wb] ['kekse'] <- K-CLASSIC | Cookies
[wb] ['kekse'] <- LEIBNIZ | Kunterbunt oder Mini-Cookies
[wb] ['kekse'] <- MANNER | Sommer-Glück Waffeln
[wb] ['kekse'] <- OREO Doppelkekse* | je 4 x 44 g
[wb] ['knäckebrot'] <- WASA | Tasty Snacks
[wb] ['konserven'] <- Bohnen | 212-ml-Dose
[wb] ['konserven'] <- DELPHI | Grüne Oliven
[wb] ['konserven'] <- JACOBS Ganze Bohnen* | je 1.000 g
[wb] ['konserven'] <- K-GOLD EDITION | Oliven mariniert
[wb] ['konserven'] <- KRINI | Griech. Pfefferoni
[wb] ['konserven'] <- Medjoul-Datteln | 300-g-Packung
[wb] ['konserven'] <- REWE Bio Kichererbsen | je 330-g-Glas 215 g Abtropfgewicht (1 kg = 3,21 €)
[wb] ['konserven'] <- REWE Bio Kidney-Bohnen | je 400-g-Dose 255 g Abtropfgewicht (1 kg = 2,71 €)
[wb] ['konserven'] <- SAN FABIO Tomatenmark | je 200 g
[wb] ['konserven'] <- ja! Brechbohnen | tiefgefroren, je 1000-g-Btl.
[wb] ['käse', 'feta'] <- Hirtenkäse XXL | 350 g
[wb] ['käse', 'feta'] <- MITAKOS XXL Hirtenkäse* | je 400 g
[wb] ['käse', 'nudeln'] <- Knorr Spaghetteria Pasta Spinaci Käse | je 178-g-Btl. (1 kg = 8,37 €)
[wb] ['käse', 'salat', 'nüsse'] <- Ziegenfrischkäse- zubereitung mit Walnüsse und Rucola | je 100-g-
[wb] ['käse', 'tiefkühlgemüse'] <- Spinat Käse Stange | Stück
[wb] ['käse'] <- ALTENBURGER Ziegenkäse* | je 250 g
[wb] ['käse'] <- Butcher’s Burger Cheese Cheddar | je 100-g-Pckg. (1 kg = 12,90 €)
[wb] ['käse'] <- CATHEDRAL CITY | English Cheddar
[wb] ['käse'] <- CHEESTRINGS | Käsestangen
[wb] ['käse'] <- Camembert L’Aromatique | 250-g-Packung
[wb] ['käse'] <- Camembert | 250-g-Packung
[wb] ['käse'] <- Chavroux Ziegenfrischkäse | 45% Fett i.Tr., je 150-g-Pckg. (1 kg = 15,27 €)
[wb] ['käse'] <- Cyrano Schaf & Ziege | frz. halbf. Schnittkäse, mind. 50% Fett i.Tr., je 100-g-
[wb] ['käse'] <- Dr. Oetker La Mia Familia Vier Käse | tiefgefroren, je 480-g-Pckg. (1 kg = 7,27 €)
[wb] ['käse'] <- FOL EPI | Franz. Schnittkäse
[wb] ['käse'] <- Finello Reibekäse | 150-g-Beutel
[wb] ['käse'] <- Fol Epi Classic | frz. Schnittkäse, je 150-g-Pckg. (1 kg = 11,27 €)
[wb] ['käse'] <- Gouda Reibekäse | 250 g
[wb] ['käse'] <- Gouda XXL | 600-g-Packung
[wb] ['käse'] <- GÉRAMONT Käsescheiben | je 150 g
[wb] ['käse'] <- GÉRAMONT Weichkäse | je 200 g
[wb] ['käse'] <- HARZBUBE | Handkäse
[wb] ['käse'] <- HOCHLAND | Schmelzkäse
[wb] ['käse'] <- HOCHLAND | Schmelzkäse
[wb] ['käse'] <- Kaiseralm 10 Monate | österr. Hartkäse, mind. 45% Fett i.Tr., je 100-g-
[wb] ['käse'] <- LINDENHOF Cheddar | je 175 g
[wb] ['käse'] <- LINDENHOF Emmentaler | je 400 g
[wb] ['käse'] <- LINDENHOF Gratinkäse | je 250 g
[wb] ['käse'] <- LINDENHOF Hollän­discher Maasdamer | je 300 g
[wb] ['käse'] <- LINDENHOF Käse-Snackwürfel | je 220 g
[wb] ['käse'] <- LINDENHOF Tilsiter | je 400 g
[wb] ['käse'] <- Landliebe Landkäse sanft-aromatisch | Schnittkäse, 48% Fett i.Tr., je 150-g-Pckg. (1 kg = 10,60 €)
[wb] ['käse'] <- Laugenstange mit Käse | Stück
[wb] ['käse'] <- Le Rustique Weichkäse | 250 g
[wb] ['käse'] <- Leberkäse | 2 x 200 g
[wb] ['käse'] <- MILRAM Käsescheiben* | je 150 g
[wb] ['käse'] <- MILRAM Reibekäse Pizzaliebe* | je 150 g
[wb] ['käse'] <- Milram Müritzer Original | Schnittkäse, 55% Fett i.Tr., je 100-g-
[wb] ['käse'] <- Mini-Käsesnack | 6x20-g-Packung
[wb] ['käse'] <- REWE Bio Gouda | gerieben, je 150-g-Btl. (1 kg = 10,60 €)
[wb] ['käse'] <- SALAKIS Schafkäse | je 180 g
[wb] ['käse'] <- SALAKIS | Halloumi Grillkäse
[wb] ['käse'] <- SAN FABIO Grana Padano | je 200 g
[wb] ['käse'] <- Saint Agur oder Etorki | frz. Weich- oder Schnittkäse, versch. Sorten, je 100-g-
[wb] ['käse'] <- Saint Albray | frz. Weichkäse, je 180-g-Pckg. (1 kg = 12,72 €)
[wb] ['käse'] <- Schweizer Teufel | Schweizer Schnittkäse, mind. 53% Fett i.Tr., je 100-g-
[wb] ['käse'] <- Züger Cottage Pearls | je 200-g-Becher (1 kg = 9,95 €)
[wb] ['limonade', 'bier'] <- Karlsberg Mixery Bier + Cola + X | 20 x 0,5 l
[wb] ['limonade'] <- Active O2 Erfrischungsgetränk | 0,75 l
[wb] ['limonade'] <- Bad Brambacher Garten-Limonade | 20 x 0,5 l
[wb] ['limonade'] <- COCA-COLA Friendspack* | je 10 x 0,33 l
[wb] ['limonade'] <- COCA-COLA | Original oder Zero
[wb] ['limonade'] <- COCA-COLA, FANTA, SPRITE oder MEZZO MIX | je 1,25 l
[wb] ['limonade'] <- CRAZY WOLF | Energy Drink oder Strong Cola
[wb] ['limonade'] <- Coca-Cola oder Fanta | 18 x 0,33 l
[wb] ['limonade'] <- Coca-Cola | versch. Sorten, teilw. koffeinhaltig, je 2-l-Fl. (1 l = 0,75 €), zzgl. 0,25 € Pfand
[wb] ['limonade'] <- Coca-Cola, Fanta, Sprite oder Mezzo Mix | 2 x 2 l
[wb] ['limonade'] <- Coca-Cola, Fanta, Sprite oder Mezzo Mix² | 6 x 2 l
[wb] ['limonade'] <- Energydrink Original | 0,5-L-Dose
[wb] ['limonade'] <- Energydrink | 0,5-L-Dose
[wb] ['limonade'] <- Energydrink | 6x0,25-L-Dose
[wb] ['limonade'] <- Fanta / Sprite / Mezzo Mix | 1,25-L-Flasche
[wb] ['limonade'] <- GEROLSTEINER Limo* | je 0,75 I
[wb] ['limonade'] <- GRANINI | Die Limo
[wb] ['limonade'] <- GÖNRGY | Energy Drink by MontanaBlack
[wb] ['limonade'] <- Lipton Eistee | 1,25 l
[wb] ['limonade'] <- MONSTER Energy-Drink | je 0,5 l
[wb] ['limonade'] <- Mezzo Mix | koffeinhaltig, je 0,5-l-Dose (1 l = 1,50 €), zzgl. 0,25 € Pfand
[wb] ['limonade'] <- Monster Energy Drink | 0,5 l
[wb] ['limonade'] <- Monster Energy Drink | versch. Sorten, koffeinhaltig, je 10 x 0,5-l-Dosen-Pckg. (1 l = 1,78 €), zzgl. 2,50 € Pfand
[wb] ['limonade'] <- Oe Limonaden | 0,33 l
[wb] ['limonade'] <- Orangina Limonaden | 0,5 l
[wb] ['limonade'] <- PFANNER | Eistee
[wb] ['limonade'] <- RED BULL | Energy Drink Festival-Tray
[wb] ['limonade'] <- RED BULL | Energy Drink Festival-Tray
[wb] ['limonade'] <- SAN FABIO Limonade | je 0,33 I
[wb] ['limonade'] <- Sanpellegrino Limonade | versch. Sorten, je 0,33-l-Dose (1 l = 2,70 €), zzgl. 0,25 € Pfand
[wb] ['limonade'] <- Uludag Gazoz Limonaden | 0,33 l
[wb] ['limonade'] <- VITAMALZ Malztrunk* | je 0,75 I
[wb] ['limonade'] <- VOELKEL | Raw Bio-Kombucha oder -Wasserkefir
[wb] ['limonade'] <- WILTHENER Goldkrone & Cola | je 0,25 I
[wb] ['margarine'] <- DELI REFORM Margarine | je 450 g
[wb] ['margarine'] <- RAMA Cremefine* | je 250 ml
[wb] ['margarine'] <- Rama Cremefine 100% Pflanzlich | je 200-ml-Becher (1 l = 4,95 €)
[wb] ['margarine'] <- Rama Cremefine zum Kochen | je 250-ml-Fl. (1 l = 3,96 €)
[wb] ['margarine'] <- Rama zum Streichen, Backen & Kochen | je 400-g-Becher (1 kg = 3,23 €)
[wb] ['marmelade', 'eis'] <- Nutella Eis | je 470-ml-Becher (1 l = 8,49 €)
[wb] ['marmelade'] <- Bio-Brotaufstrich | 140-g-Glas
[wb] ['marmelade'] <- Bonne Maman Konfitüre | 225 g
[wb] ['marmelade'] <- Brotaufstrich XXL | 250-g-Becher
[wb] ['marmelade'] <- Brunch Brotaufstrich | versch. Sorten, je 185-g-Becher (1 kg = 6,97 €)
[wb] ['marmelade'] <- Honig | 500-g-Glas
[wb] ['marmelade'] <- Landliebe Konfitüre | versch. Sorten, je 200-g-Glas (1 kg = 8,45 €)
[wb] ['marmelade'] <- MAINTAL Konfitüre extra | je 340 g
[wb] ['marmelade'] <- NUDOSSI | Nuss-Nougat-Brotaufstrich
[wb] ['marmelade'] <- Popp Brotaufstrich | 250 g
[wb] ['marmelade'] <- SCHWARTAU | Konfitüre Extra
[wb] ['marmelade'] <- Zentis "Smile" Fruchtaufstrich | 230 g
[wb] ['mehl'] <- Panko / Tempura  | Packung
[wb] ['melone'] <- Bio Mini Wassermelone | 1 kg
[wb] ['melone'] <- Galiamelonen | 1 kg
[wb] ['melone'] <- Honigmelone | 1 kg
[wb] ['melone'] <- Piel de Sapo Melone | kg-Preis
[wb] ['melone'] <- Wassermelone | 1 kg
[wb] ['milch', 'kaffee'] <- Alpro Barista Haferdrink oder Not Milk | je 1-l-Pckg.
[wb] ['milch', 'reis'] <- Müller Milch Reis | Natur, je 200-g-Becher (1 kg = 2,45 €)
[wb] ['milch'] <- Frische Landmilch | 1-L-Packung
[wb] ['milch'] <- Hemme Milch To Go Getränke | 230 ml
[wb] ['milch'] <- KNOPPERS | Milch-Nuss-Schnitte
[wb] ['milch'] <- Kokosnussmilch | 3x400-ml-Dose
[wb] ['milch'] <- MILPRIMA Haltbare fettarme Milch | je 12 x 1 l
[wb] ['milch'] <- MILPRIMA Milch Drink | je 500 ml
[wb] ['milch'] <- Mandeldrink | 1-L-Packung
[wb] ['milch'] <- Milch-Schnitte | 196-g-Packung
[wb] ['milch'] <- Milka Tender | Milch, je 5 x 37-g-Pckg. (1 kg = 10,76 €)
[wb] ['milch'] <- MÜLLER Reine Buttermilch* | je 500 g
[wb] ['milch'] <- Reine Buttermilch | 500-g-Flasche
[wb] ['milch'] <- Schwarzwaldmilch Protein Milch | 1 l
[wb] ['milch'] <- Thüringer Land Frische Milch | 1 l
[wb] ['milch'] <- WEIHENSTEPHAN | Haltbare Milch, 3,5 % Fett
[wb] ['milch'] <- WEIHENSTEPHAN | Haltbare Milch, 3,5 % Fett
[wb] ['milch'] <- Weihenstephan Haltbare Milch | 1,5/3,5% Fett, je 1-l-Pckg.
[wb] ['mozzarella'] <- GALBANI | Mozzarella Classic
[wb] ['mozzarella'] <- Mozzarella Kugel | 125 g
[wb] ['mozzarella'] <- SAN FABIO Mozzarella | je 250 g
[wb] ['möhren', 'tiefkühlgemüse'] <- GREENLAND Erbsen mit Möhren | je 400 g
[wb] ['möhren'] <- Bio Möhren | 1 kg
[wb] ['möhren'] <- NATURGUT Deutsche Bio-Möhren* | je 1-kg-Beutel
[wb] ['müsli'] <- Cerealienmix XXL | 8x115-g-Packung
[wb] ['müsli'] <- Dr. Oetker Vitalis Müsli | Weniger süß, je 600-g-Pckg. (1 kg = 4,15 €)
[wb] ['müsli'] <- Dr. Oetker Vitalis Schoko Müsli | Klassisch, je 450-g-Pckg. (1 kg = 5,53 €)
[wb] ['müsli'] <- GRANOLA Haferflocken | je 500 g
[wb] ['müsli'] <- KÖLLN Haferflocken | je 500 g
[wb] ['müsli'] <- Kölln Bio Haferflocken | versch. Sorten, je 500-g-Pckg. (1 kg = 3,38 €)
[wb] ['müsli'] <- NESTLÉ | Fitness-Granola
[wb] ['müsli'] <- REWE Bio Haferpops | je 375-g-Btl. (1 kg = 6,53 €)
[wb] ['müsli'] <- Vitalis Müsli | 400 g – 600 g
[wb] ['nudeln', 'fertiggericht'] <- Hilcona Tortelloni oder Gnocchi | 750 g
[wb] ['nudeln', 'fertiggericht'] <- Instant-Ramen-Nudeln | Packung
[wb] ['nudeln', 'fertiggericht'] <- Pasta-Fertiggericht | 248-g-Packung
[wb] ['nudeln', 'soßen'] <- BAUTZ’NER Nudeln mit Soße* | je 250 ml
[wb] ['nudeln', 'soßen'] <- BERTOLLI | Pasta-Sauce
[wb] ['nudeln', 'soßen'] <- Maggi 5 Minuten Terrine Nudeln in Rahmsauce | je 61-g-Becher (1 kg = 16,23 €)
[wb] ['nudeln', 'soßen'] <- SAN FABIO Pasta-Sauce | je 400 g
[wb] ['nudeln'] <- BARILLA Pasta* | je 500 g
[wb] ['nudeln'] <- Bratnudeln | 600-g-Beutel
[wb] ['nudeln'] <- Freche Freunde Bio Kinder-Pasta | tiefgefroren, versch. Sorten, je 350-g-Btl. (1 kg = 9,97 €)
[wb] ['nudeln'] <- Glasnudeln | 100-g-Packung
[wb] ['nudeln'] <- HARIBO | Balla Stixx oder Spaghetti
[wb] ['nudeln'] <- Instantnudeln | 4x85-g-Packung
[wb] ['nudeln'] <- Italienische Pasta | 500 g
[wb] ['nudeln'] <- K-CLASSIC | Schupfnudeln oder Spätzle
[wb] ['nudeln'] <- MIRÁCOLI Klassiker Spaghetti* | je 610,4 g
[wb] ['nudeln'] <- Mie-Nudeln | 250-g-Packung
[wb] ['nudeln'] <- Mr. Wang Instantnudeln | 325 g
[wb] ['nudeln'] <- Nong Shim Shin Ramyun | spicy & creamy, je 137-g-Pckg. (1 kg = 10,88 €)
[wb] ['nudeln'] <- PENNY READY XXL-Lasagne | je 1 kg
[wb] ['nudeln'] <- REWE Bio Cappelletti | versch. Sorten, je 250-g-Pckg. (1 kg = 7,16 €)
[wb] ['nudeln'] <- Reisnudeln | 200-g-Packung
[wb] ['nudeln'] <- SAN FABIO Gnocchi | je 500 g
[wb] ['nudeln'] <- SAN FABIO Lasagne al Bronzo | je 500 g
[wb] ['nudeln'] <- Vorgekochte Nudeln | 2x150-g-Packung
[wb] ['nudeln'] <- Wok-Nudeln | 250-g-Packung
[wb] ['nüsse'] <- BRAVO Cashew Erdnuss Mix | je 200 g
[wb] ['nüsse'] <- Cashew-Erdnuss-Mix | 200-g-Beutel
[wb] ['nüsse'] <- Erdnüsse | 550 g
[wb] ['nüsse'] <- K-CLASSIC | Cashewkerne versch. Sorten
[wb] ['nüsse'] <- K-CLASSIC | Pinienkerne
[wb] ['nüsse'] <- Max Premium Pistazien | geröstet & gesalzen, je 225-g-Dose (1 kg = 22,18 €)
[wb] ['nüsse'] <- Max Premium Pistazienkerne | geröstet & gesalzen, je 150-g-Dose (1 kg = 33,27 €)
[wb] ['nüsse'] <- Pistazien Sweet Chili | 250-g-Beutel
[wb] ['nüsse'] <- SIMPLY SUNNY Pinien­kerne | je 50 g
[wb] ['nüsse'] <- ÜLTJE | Erdnüsse
[wb] ['obst'] <- Ananas | Stück
[wb] ['obst'] <- Fruchtmix XXL | 8x115-g-Packung
[wb] ['obst'] <- GREENLAND Mango | je 750 g
[wb] ['obst'] <- K-CLASSIC | Sommerfrucht-Mix
[wb] ['obst'] <- Kiwi Gold* | je 3-Stück-Schale
[wb] ['obst'] <- Mango | 425-ml-Dose
[wb] ['obst'] <- Mini-Pak-Choi | 300-g-Packung
[wb] ['obst'] <- Obst XXL | 1-kg-Beutel
[wb] ['obst'] <- SunGold Kiwi | Stück
[wb] ['obst'] <- Zespri Kiwi Gold Jumbo | Stück
[wb] ['orangen', 'saft'] <- PARADISO Orangen-Nektar | je 1,5 I
[wb] ['orangen', 'saft'] <- PENNY READY Direktsaft Orange | je 1 I
[wb] ['paprika', 'wurst'] <- MÜHLENHOF Delikatess Schinkenwurst mit Paprika* | je 250 g
[wb] ['paprika', 'wurst'] <- Pick Original ungarische Salami oder Paprika-Kolbasz | je 100-g-
[wb] ['paprika'] <- K-CLASSIC | Paprika-Kartoffelsticks
[wb] ['paprika'] <- ORTO MIO Antipasticreme Kirschpaprika | je 150 g
[wb] ['paprika'] <- Paprika-Mix | 500 g
[wb] ['paprika'] <- Rote Paprika | je kg
[wb] ['paprika'] <- Spitzpaprika rot | 500 g
[wb] ['pfirsich', 'limonade'] <- EAA Eistee Pfirsich | 250 g
[wb] ['pfirsich'] <- Aprikosen | 1-kg-Schale
[wb] ['pfirsich'] <- Bio Plattnektarinen | Kl. II, je 500-g-Schale (1 kg = 4,98 €)
[wb] ['pfirsich'] <- Dunkle Pflaumen | Kl. I, je 1-kg-
[wb] ['pfirsich'] <- FRUCHTIGER ENGEL Pfirsich-Litschi* | je 0,75 I
[wb] ['pfirsich'] <- Kirschen | 100 g
[wb] ['pfirsich'] <- Nektarinen | 1 kg Schale
[wb] ['pfirsich'] <- Plattnektarinen | 500-g-Schale
[wb] ['pfirsich'] <- Plattpfirsiche | 1 kg Schale
[wb] ['pfirsich'] <- Plattpfirsiche | Kl. I, je 500-g-Schale (1 kg = 1,98 €)
